CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
CC(=O)OC(CC(=O)O)C[N+](C)(C)C
O=C(O)C1=CC=CC(O)C1O
CC(O)CN
NCC(=O)COP(=O)(O)O
O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1
CCn1cnc2c(N)ncnc21
CCC(C)(O)C(O)C(=O)O
O=P(O)(O)OC1C(O)C(O)C(O)C(O)C1O
ClCCCl
Oc1cc(O)c(O)c(O)c1
Clc1ccc(Cl)c(Cl)c1
CCCCCC(=O)C=CC1C(O)CC(=O)C1CCCCCCC(=O)O
CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O
O=C1CCCCCNC(=O)CCCCCN1
O=C(O)C1=NC(C(=O)O)CC=C1
O=C(O)C(=O)C(=O)C(O)C(O)CO
O=C(O)c1cccc(O)c1O
O=C(O)CCc1cccc(O)c1O
CCC(O)(C(C)=O)C(=O)O
CC(=O)C(C)(O)C(=O)O
NC(C(=O)O)=C(C=CC=O)C(=O)O
NC1=NC2C(C(=O)N1)N(O)C(O)(C(O)C(O)CO)C(O)N2O
CC(=O)C(=O)C1=NC2C(=O)NC(N)=NC2N(O)C1O
NC(=CC=CC(=O)O)C(=O)O
NC(C=O)C(=O)O
NC(=CC=CC=O)C(=O)O
CC(O)(CO)C(O)COP(=O)(O)O
O=C(O)C=CC=C(C(=O)O)C(=O)O
O=CCCl
OCCCl
O=C(O)CC1(Cl)C=CC(=O)O1
CC(C)C(C(=O)O)C(O)C(=O)O
O=C(O)C(=O)CC(O)C(O)CO
CC(C)(CO)C(=O)C(=O)O
CC1(C)COC(=O)C1=O
OCC1OC(O)CC(O)C1O
CSCCC(=O)C(O)=COP(=O)(O)O
O=C(O)CCC(=O)C=CC=C(O)C(=O)O
O=C(O)CCC(O)C(=O)O
O=C([O-])C(O)C(=O)[O-]
O=C(O)C(O)C(=O)O
O=C(O)C(=O)CC(O)C(O)COP(=O)(O)O
CCC(C)C(=O)C(=O)O
NC(=O)CCC(=O)C(=O)O
CC(C)C(=O)C(=O)O
O=C(O)C(=O)C(O)C(O)C(O)CO
O=C(O)CCC(=O)C(=O)O
CC(O)C(C)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
CC(=O)C(C)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
CCC(C)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1cccc(O)c1O
CC=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1cccc(OC)c1O
CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1ccccc1O
CCC(=O)C(=O)O
O=C(O)C(CO)OP(=O)(O)O
CC(CO)(OP(=O)(O)O)C(O)COP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1O
O=C(O)C(COP(=O)(O)O)OP(=O)(O)O
OC1C=C(Cl)C(Cl)C=C1Cl
CC(N)CC(N)C(=O)O
OC1C=C(Cl)C(O)C=C1Cl
Oc1cc(Cl)c(O)cc1Cl
Oc1cc(Cl)ccc1Cl
O=C(O)C(=O)C(O)C(O)C(=O)CO
CC1(CO)OP(=O)(O)OP(=O)(O)OCC1O
CC(=O)C=CC=C(O)C(=O)O
CC(C)CC(=O)C(=O)O
O=C(O)CCCC(=O)C(=O)O
O=C(O)c1ccc(O)c(O)c1
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(OP(=O)(O)O)C1O
CC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
NCCC=O
